sampleID	SequencingBatch	Sequencing run	fastq_fwd_file_name	fastq_rev_file_name	Site	Region	Latitude	Longitude	ApproximateShellLength	Age	CohortYear	TransplantationYear	TransplantationAge	YearsSpentAtTransplantationSite	AdditionalSiteInfo	AdditionalComments
TG39	Y2	HN00122531	BAU-Tg-2_1.fastq.gz	BAU-Tg-2_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833	76	23	1995	1996	22	1	Dive and Trek	
TG40	Y2	HN00122531	BAU-Tg-3_1.fastq.gz	BAU-Tg-3_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833	51	23	1995	1996	22	1	Dive and Trek	
TG41	Y2	HN00122531	MAB-Tg-1_1.fastq.gz	MAB-Tg-1_2.fastq.gz	Mabini	Batangas	13.68765	120.8898	64	28	1990	1996	22	6	Twin Rocks	
TG42	Y2	HN00122531	MAB-Tg-3_1.fastq.gz	MAB-Tg-3_2.fastq.gz	Mabini	Batangas	13.68765	120.8898	71	28	1990	1996	22	6	Twin Rocks	
TG43	Y2	HN00122531	MAB-Tg-4_1.fastq.gz	MAB-Tg-4_2.fastq.gz	Mabini	Batangas	13.68765	120.8898	89	28	1990	1996	22	6	Twin Rocks	
TG44	Y2	HN00122531	MAS-Tg-1_1.fastq.gz	MAS-Tg-1_2.fastq.gz	Masinloc	Zambales	15.5298667	119.9248167	55	20	1998	2002	16	4	"Zambales, Masinloc, San Salvador Island, Libaba"	Pew
TG45	Y2	HN00122531	MAS-Tg-4_1.fastq.gz	MAS-Tg-4_2.fastq.gz	Masinloc	Zambales	15.5298667	119.9248167	69	20	1998	2002	16	4	"Zambales, Masinloc, San Salvador Island, Libaba"	Pew
TG46	Y2	HN00122531	MAS-Tg-5_1.fastq.gz	MAS-Tg-5_2.fastq.gz	Masinloc	Zambales	15.5298667	119.9248167	67	20	1998	2002	16	4	"Zambales, Masinloc, San Salvador Island, Libaba"	Pew
TG47	Y2	HN00122531	PAL-Tg-2_1.fastq.gz	PAL-Tg-2_2.fastq.gz	Palawan	Palawan	9.914205334	118.877206	73	16	2002	2007	11	5	"Puerto Princesa, Palawan"	
TG48	Y2	HN00122531	PAL-Tg-3_1.fastq.gz	PAL-Tg-3_2.fastq.gz	Palawan	Palawan	9.914205334	118.877206	93	16	2002	2007	11	5	"Puerto Princesa, Palawan"	
